terrain_x,terrain_y,terrain_z
346910.62051192555,2646589.5078953276,479.0
346940.62051192555,2646589.5078953276,457.0
346970.62051192555,2646589.5078953276,443.0
347000.62051192555,2646589.5078953276,434.0
347030.62051192555,2646589.5078953276,421.0
347060.62051192555,2646589.5078953276,407.0
347090.62051192555,2646589.5078953276,390.0
347120.62051192555,2646589.5078953276,371.0
347150.62051192555,2646589.5078953276,363.0
347180.62051192555,2646589.5078953276,350.0
347210.62051192555,2646589.5078953276,335.0
347240.62051192555,2646589.5078953276,329.0
347270.62051192555,2646589.5078953276,327.0
347300.62051192555,2646589.5078953276,315.0
347330.62051192555,2646589.5078953276,294.0
347360.62051192555,2646589.5078953276,277.0
347390.62051192555,2646589.5078953276,264.0
347420.62051192555,2646589.5078953276,256.0
347450.62051192555,2646589.5078953276,256.0
347480.62051192555,2646589.5078953276,252.0
347510.62051192555,2646589.5078953276,246.0
347540.62051192555,2646589.5078953276,232.0
347570.62051192555,2646589.5078953276,220.0
347600.62051192555,2646589.5078953276,211.0
347630.62051192555,2646589.5078953276,203.0
347660.62051192555,2646589.5078953276,196.0
347690.62051192555,2646589.5078953276,183.0
346130.62051192555,2646559.5078953276,728.0
346160.62051192555,2646559.5078953276,731.0
346190.62051192555,2646559.5078953276,732.0
346220.62051192555,2646559.5078953276,738.0
346250.62051192555,2646559.5078953276,744.0
346280.62051192555,2646559.5078953276,745.0
346310.62051192555,2646559.5078953276,737.0
346340.62051192555,2646559.5078953276,725.0
346370.62051192555,2646559.5078953276,723.0
346400.62051192555,2646559.5078953276,715.0
346430.62051192555,2646559.5078953276,700.0
346460.62051192555,2646559.5078953276,685.0
346490.62051192555,2646559.5078953276,666.0
346520.62051192555,2646559.5078953276,656.0
346550.62051192555,2646559.5078953276,645.0
346580.62051192555,2646559.5078953276,627.0
346610.62051192555,2646559.5078953276,611.0
346640.62051192555,2646559.5078953276,589.0
346670.62051192555,2646559.5078953276,575.0
346700.62051192555,2646559.5078953276,566.0
346730.62051192555,2646559.5078953276,537.0
346760.62051192555,2646559.5078953276,523.0
346790.62051192555,2646559.5078953276,517.0
346820.62051192555,2646559.5078953276,510.0
346850.62051192555,2646559.5078953276,489.0
346880.62051192555,2646559.5078953276,473.0
346910.62051192555,2646559.5078953276,452.0
346940.62051192555,2646559.5078953276,438.0
346970.62051192555,2646559.5078953276,427.0
347000.62051192555,2646559.5078953276,415.0
347030.62051192555,2646559.5078953276,404.0
347060.62051192555,2646559.5078953276,389.0
347090.62051192555,2646559.5078953276,360.0
347120.62051192555,2646559.5078953276,347.0
347150.62051192555,2646559.5078953276,331.0
347180.62051192555,2646559.5078953276,324.0
347210.62051192555,2646559.5078953276,312.0
347240.62051192555,2646559.5078953276,311.0
347270.62051192555,2646559.5078953276,311.0
347300.62051192555,2646559.5078953276,297.0
347330.62051192555,2646559.5078953276,282.0
347360.62051192555,2646559.5078953276,267.0
347390.62051192555,2646559.5078953276,252.0
347420.62051192555,2646559.5078953276,241.0
347450.62051192555,2646559.5078953276,242.0
347480.62051192555,2646559.5078953276,239.0
347510.62051192555,2646559.5078953276,233.0
347540.62051192555,2646559.5078953276,223.0
347570.62051192555,2646559.5078953276,212.0
347600.62051192555,2646559.5078953276,207.0
347630.62051192555,2646559.5078953276,197.0
347660.62051192555,2646559.5078953276,185.0
347690.62051192555,2646559.5078953276,178.0
346130.62051192555,2646529.5078953276,745.0
346160.62051192555,2646529.5078953276,748.0
346190.62051192555,2646529.5078953276,750.0
346220.62051192555,2646529.5078953276,755.0
346250.62051192555,2646529.5078953276,760.0
346280.62051192555,2646529.5078953276,759.0
346310.62051192555,2646529.5078953276,749.0
346340.62051192555,2646529.5078953276,730.0
346370.62051192555,2646529.5078953276,718.0
346400.62051192555,2646529.5078953276,706.0
346430.62051192555,2646529.5078953276,701.0
346460.62051192555,2646529.5078953276,687.0
346490.62051192555,2646529.5078953276,671.0
346520.62051192555,2646529.5078953276,653.0
346550.62051192555,2646529.5078953276,634.0
346580.62051192555,2646529.5078953276,626.0
346610.62051192555,2646529.5078953276,610.0
346640.62051192555,2646529.5078953276,576.0
346670.62051192555,2646529.5078953276,558.0
346700.62051192555,2646529.5078953276,542.0
346730.62051192555,2646529.5078953276,521.0
346760.62051192555,2646529.5078953276,501.0
346790.62051192555,2646529.5078953276,498.0
346820.62051192555,2646529.5078953276,480.0
346850.62051192555,2646529.5078953276,464.0
346880.62051192555,2646529.5078953276,446.0
346910.62051192555,2646529.5078953276,428.0
346940.62051192555,2646529.5078953276,418.0
346970.62051192555,2646529.5078953276,407.0
347000.62051192555,2646529.5078953276,397.0
347030.62051192555,2646529.5078953276,383.0
